csv_line,source_LABEL,source_TEXT,message,clean_text,label,URL,EMAIL,PHONE,duplicate_group_size
6860,spam,100 date service cal;l 09064012103 box334sk38ch,100 date service cal;l 09064012103 box334sk38ch,100 date service cal l phonetoken box334sk38ch,spam,0,0,1,3
6861,spam,100 date service cal;l 09064012103 box334sk38ch,100 date service cal;l 09064012103 box334sk38ch,100 date service cal l phonetoken box334sk38ch,spam,0,0,1,3
6862,spam,100 date service cal;l 09064012103 box334sk38ch,100 date service cal;l 09064012103 box334sk38ch,100 date service cal l phonetoken box334sk38ch,spam,0,0,1,3
6863,spam,100 dating service cal;l 09064012103 box334sk38ch,100 dating service cal;l 09064012103 box334sk38ch,100 dating service cal l phonetoken box334sk38ch,spam,0,0,1,5
6864,spam,100 dating service cal;l 09064012103 box334sk38ch,100 dating service cal;l 09064012103 box334sk38ch,100 dating service cal l phonetoken box334sk38ch,spam,0,0,1,5
6865,spam,100 dating service cal;l 09064012103 box334sk38ch,100 dating service cal;l 09064012103 box334sk38ch,100 dating service cal l phonetoken box334sk38ch,spam,0,0,1,5
6866,spam,100 dating service cal;l 09064012103 box334sk38ch,100 dating service cal;l 09064012103 box334sk38ch,100 dating service cal l phonetoken box334sk38ch,spam,0,0,1,5
6867,spam,100 dating service cal;l 09064012103 box334sk38ch,100 dating service cal;l 09064012103 box334sk38ch,100 dating service cal l phonetoken box334sk38ch,spam,0,0,1,5
3520,smishing,+123 Congratulations - in this week's competition draw u have won the £1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm,+123 Congratulations - in this week's competition draw u have won the £1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm,123 congratulations in this week's competition draw u have won the 1450 prize to claim just call phonetoken b4280703 t cs stop sms phonetoken over 18 only 150ppm,smishing,0,0,1,3
3521,smishing,+123 congratulations - in this week's competition draw u have won the £1450 prize to claim just call 09050002311 b4280703. t&cs/stop sms 08718727868. over 18 only 150ppm,+123 congratulations - in this week's competition draw u have won the £1450 prize to claim just call 09050002311 b4280703. t&cs/stop sms 08718727868. over 18 only 150ppm,123 congratulations in this week's competition draw u have won the 1450 prize to claim just call phonetoken b4280703 t cs stop sms phonetoken over 18 only 150ppm,smishing,0,0,1,3
3522,smishing,+123 congratulations - in this week's competition draw u have won the £1450 prize to claim just call 09050002311 b4280703. t&cs/stop sms 08718727868. over 18 only 150ppm,+123 congratulations - in this week's competition draw u have won the £1450 prize to claim just call 09050002311 b4280703. t&cs/stop sms 08718727868. over 18 only 150ppm,123 congratulations in this week's competition draw u have won the 1450 prize to claim just call phonetoken b4280703 t cs stop sms phonetoken over 18 only 150ppm,smishing,0,0,1,3
6869,spam,18 days to euro2004 kickoff! u will be continue inform of all the latest news and results daily.,18 days to euro2004 kickoff! u will be continue inform of all the latest news and results daily.,18 days to euro2004 kickoff u will be continue inform of all the latest news and results daily,spam,0,0,0,2
6870,spam,18 days to euro2004 kickoff! u will be continue inform of all the latest news and results daily.,18 days to euro2004 kickoff! u will be continue inform of all the latest news and results daily.,18 days to euro2004 kickoff u will be continue inform of all the latest news and results daily,spam,0,0,0,2
6871,spam,18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily.,18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily.,18 days to euro2004 kickoff u will be kept informed of all the latest news and results daily,spam,0,0,0,5
6872,spam,18 days to euro2004 kickoff! u will be kept informed of all the latest news and results daily.,18 days to euro2004 kickoff! u will be kept informed of all the latest news and results daily.,18 days to euro2004 kickoff u will be kept informed of all the latest news and results daily,spam,0,0,0,5
6873,spam,18 days to euro2004 kickoff! u will be kept informed of all the latest news and results daily.,18 days to euro2004 kickoff! u will be kept informed of all the latest news and results daily.,18 days to euro2004 kickoff u will be kept informed of all the latest news and results daily,spam,0,0,0,5
6874,spam,18 days to euro2004 kickoff! u will be kept informed of all the latest news and results daily.,18 days to euro2004 kickoff! u will be kept informed of all the latest news and results daily.,18 days to euro2004 kickoff u will be kept informed of all the latest news and results daily,spam,0,0,0,5
6875,spam,18 days to euro2004 kickoff! u will be kept informed of all the latest news and results daily.,18 days to euro2004 kickoff! u will be kept informed of all the latest news and results daily.,18 days to euro2004 kickoff u will be kept informed of all the latest news and results daily,spam,0,0,0,5
6876,spam,18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.,18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.,18 days to euro2004 kickoff u will be kept informed of all the latest news and results daily unsubscribe send get euro stop to 83222,spam,0,0,0,3
6877,spam,18 days to euro2004 kickoff! u will be kept informed of all the latest news and results daily. unsubscribe send get euro stop to 83222.,18 days to euro2004 kickoff! u will be kept informed of all the latest news and results daily. unsubscribe send get euro stop to 83222.,18 days to euro2004 kickoff u will be kept informed of all the latest news and results daily unsubscribe send get euro stop to 83222,spam,0,0,0,3
6878,spam,18 days to euro2004 kickoff! u will be kept informed of all the latest news and results daily. unsubscribe send get euro stop to 83222.,18 days to euro2004 kickoff! u will be kept informed of all the latest news and results daily. unsubscribe send get euro stop to 83222.,18 days to euro2004 kickoff u will be kept informed of all the latest news and results daily unsubscribe send get euro stop to 83222,spam,0,0,0,3
6882,spam,18 days to euro2004 kickoff! u will be restrain informed of all the latest news and results daily. unsubscribe send get euro stop to 83222.,18 days to euro2004 kickoff! u will be restrain informed of all the latest news and results daily. unsubscribe send get euro stop to 83222.,18 days to euro2004 kickoff u will be restrain informed of all the latest news and results daily unsubscribe send get euro stop to 83222,spam,0,0,0,2
6883,spam,18 days to euro2004 kickoff! u will be restrain informed of all the latest news and results daily. unsubscribe send get euro stop to 83222.,18 days to euro2004 kickoff! u will be restrain informed of all the latest news and results daily. unsubscribe send get euro stop to 83222.,18 days to euro2004 kickoff u will be restrain informed of all the latest news and results daily unsubscribe send get euro stop to 83222,spam,0,0,0,2
6885,spam,18 days to euro2004 kickoff! u will embody kept informed of all the latest news and results daily.,18 days to euro2004 kickoff! u will embody kept informed of all the latest news and results daily.,18 days to euro2004 kickoff u will embody kept informed of all the latest news and results daily,spam,0,0,0,2
6886,spam,18 days to euro2004 kickoff! u will embody kept informed of all the latest news and results daily.,18 days to euro2004 kickoff! u will embody kept informed of all the latest news and results daily.,18 days to euro2004 kickoff u will embody kept informed of all the latest news and results daily,spam,0,0,0,2
6889,spam,18 days to euro2004 kickoff! u will embody restrain informed of all the latest news and results daily. unsubscribe send get euro stop to 83222.,18 days to euro2004 kickoff! u will embody restrain informed of all the latest news and results daily. unsubscribe send get euro stop to 83222.,18 days to euro2004 kickoff u will embody restrain informed of all the latest news and results daily unsubscribe send get euro stop to 83222,spam,0,0,0,2
6890,spam,18 days to euro2004 kickoff! u will embody restrain informed of all the latest news and results daily. unsubscribe send get euro stop to 83222.,18 days to euro2004 kickoff! u will embody restrain informed of all the latest news and results daily. unsubscribe send get euro stop to 83222.,18 days to euro2004 kickoff u will embody restrain informed of all the latest news and results daily unsubscribe send get euro stop to 83222,spam,0,0,0,2
6894,spam,1st wk FREE! Gr8 tones str8 2 u each wk. Txt NOKIA ON to 8007 for Classic Nokia tones or HIT ON to 8007 for Polys. Nokia/150p Poly/200p 16+,1st wk FREE! Gr8 tones str8 2 u each wk. Txt NOKIA ON to 8007 for Classic Nokia tones or HIT ON to 8007 for Polys. Nokia/150p Poly/200p 16+,1st wk free gr8 tones str8 2 u each wk txt nokia on to 8007 for classic nokia tones or hit on to 8007 for polys nokia 150p poly 200p 16,spam,0,0,0,8
6895,spam,1st wk free! gr8 tones str8 2 u each wk. txt nokia on to 8007 for classic nokia tones or hit on to 8007 for polys. nokia/150p poly/200p 16+,1st wk free! gr8 tones str8 2 u each wk. txt nokia on to 8007 for classic nokia tones or hit on to 8007 for polys. nokia/150p poly/200p 16+,1st wk free gr8 tones str8 2 u each wk txt nokia on to 8007 for classic nokia tones or hit on to 8007 for polys nokia 150p poly 200p 16,spam,0,0,0,8
6896,spam,1st wk free! gr8 tones str8 2 u each wk. txt nokia on to 8007 for classic nokia tones or hit on to 8007 for polys. nokia/150p poly/200p 16+,1st wk free! gr8 tones str8 2 u each wk. txt nokia on to 8007 for classic nokia tones or hit on to 8007 for polys. nokia/150p poly/200p 16+,1st wk free gr8 tones str8 2 u each wk txt nokia on to 8007 for classic nokia tones or hit on to 8007 for polys nokia 150p poly 200p 16,spam,0,0,0,8
6897,spam,1st wk free! gr8 tones str8 2 u each wk. txt nokia on to 8007 for classic nokia tones or hit on to 8007 for polys. nokia/150p poly/200p 16+,1st wk free! gr8 tones str8 2 u each wk. txt nokia on to 8007 for classic nokia tones or hit on to 8007 for polys. nokia/150p poly/200p 16+,1st wk free gr8 tones str8 2 u each wk txt nokia on to 8007 for classic nokia tones or hit on to 8007 for polys nokia 150p poly 200p 16,spam,0,0,0,8
