csv_line,source_LABEL,source_TEXT,source_URL,source_EMAIL,source_PHONE,message,clean_text,label,removal_reason
16,ham,:),No,No,No,:),,ham,empty_clean_text
17,ham,:-) :-),No,No,No,:-) :-),,ham,empty_clean_text
3404,smishing,"	Bears Pic Nick, and Tom, Pete and ... Dick. In fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324",No,No,Yes,"Bears Pic Nick, and Tom, Pete and ... Dick. In fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324",bears pic nick and tom pete and dick in fact all types try gay chat with photo upload call phonetoken 10p min 2 stop texts call phonetoken,smishing,same_message_conflicting_labels
3405,smishing,	Call FREEPHONE 0800 542 0578 now!,No,No,No,Call FREEPHONE 0800 542 0578 now!,call freephone phonetoken now,smishing,same_message_conflicting_labels
3425,smishing,	Dont forget you can place as many FREE Requests with 1stchoice.co.uk as you wish. For more Information call 08707808226.,No,No,Yes,Dont forget you can place as many FREE Requests with 1stchoice.co.uk as you wish. For more Information call 08707808226.,dont forget you can place as many free requests with urltoken as you wish for more information call phonetoken,smishing,same_message_conflicting_labels
3426,smishing,	Dorothy@kiefer.com (Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..,No,Yes,No,Dorothy@kiefer.com (Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..,emailtoken bank of granite issues strong buy explosive pick for our members up over 300 nasdaq symbol cdgt that is a 5 00 per,smishing,same_message_conflicting_labels
3428,smishing,	Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or £250 cash every wk. Txt VPOD to 81303 Ts&Cs www.textpod.net custcare 08712405020.,No,No,Yes,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or £250 cash every wk. Txt VPOD to 81303 Ts&Cs www.textpod.net custcare 08712405020.,free 1st week entry 2 textpod 4 a chance 2 win 40gb ipod or 250 cash every wk txt vpod to 81303 ts cs urltoken custcare phonetoken,smishing,same_message_conflicting_labels
3429,smishing,	FREE entry into our £250 weekly comp just send the word ENTER to 84128 NOW. 18 T&C www.textcomp.com cust care 08712405020.,No,No,Yes,FREE entry into our £250 weekly comp just send the word ENTER to 84128 NOW. 18 T&C www.textcomp.com cust care 08712405020.,free entry into our 250 weekly comp just send the word enter to 84128 now 18 t c urltoken cust care phonetoken,smishing,same_message_conflicting_labels
3430,smishing,"	Free entry to the gr8prizes wkly comp 4 a chance to win the latest Nokia 8800, PSP or £250 cash every wk.TXT GREAT to 80878 http//www.gr8prizes.com 08715705022",No,No,Yes,"Free entry to the gr8prizes wkly comp 4 a chance to win the latest Nokia 8800, PSP or £250 cash every wk.TXT GREAT to 80878 http//www.gr8prizes.com 08715705022",free entry to the gr8prizes wkly comp 4 a chance to win the latest nokia 8800 psp or 250 cash every urltoken great to 80878 http urltoken phonetoken,smishing,same_message_conflicting_labels
3439,smishing,	I'd like to tell you my deepest darkest fantasies. Call me 09094646631 just 60p/min. To stop texts call 08712460324 (nat rate),No,No,Yes,I'd like to tell you my deepest darkest fantasies. Call me 09094646631 just 60p/min. To stop texts call 08712460324 (nat rate),i'd like to tell you my deepest darkest fantasies call me phonetoken just 60p min to stop texts call phonetoken nat rate,smishing,same_message_conflicting_labels
