clean_text,URL,EMAIL,PHONE,url_count,email_count,phone_count,label
came to look at the flat seems ok in his 50s is away alot wiv work got woman coming at 6 30 too,0,1,0,0,1,0,ham
if anyone calling from a mobile co and asks u to type or do not do so disconnect the call coz it iz an attempt of 'terrorist' to make use of the sim card,0,0,0,0,0,0,ham
said kiss kiss i can't do the sound effects he is a gorgeous man isn't he kind of person who needs a smile to brighten his day,0,0,0,0,0,0,ham
and my man carlos is definitely coming by mu tonight no excuses,0,0,0,0,0,0,ham
are you in the pub,0,0,0,0,0,0,ham
photoshop makes my computer shut down,0,0,0,0,0,0,ham
please charge my mobile when you get up in morning,0,0,0,0,0,0,ham
but your not here,0,0,0,0,0,0,ham
sad puppy noise,0,0,0,0,0,0,ham
yeah lol luckily i didn't have a starring role like you,0,0,0,0,0,0,ham
oh well c u later,0,0,0,0,0,0,ham
ok i feel like john lennon,0,0,0,0,0,0,ham
anyway many good evenings to u s,0,0,0,0,0,0,ham
1 go to write msg 2 put on dictionary mode 3 cover the screen with hand 4 press 5 gently remove ur hand its interesting,0,0,0,0,0,0,ham
1apple day no doctor 1tulsi leaf day no cancer 1lemon day no fat 1cup milk day no bone problms 3 litres watr day no diseases snd ths 2 whom u care,0,0,0,0,0,0,ham
1's finish meeting call me,0,0,0,0,0,0,ham
1's reach home call me,0,0,0,0,0,0,ham
2 celebrate my b day y else,0,0,0,0,0,0,ham
2 laptop i noe infra but too slow lar i wan fast one,0,0,0,0,0,0,ham
26th of july,0,0,0,0,0,0,ham
2mro i am not coming to gym machan goodnight,0,0,0,0,0,0,ham
32 am i think should say on syllabus,0,0,0,0,0,0,ham
32 5 m but its not a common car here so its better to buy from china or asia or if i find it less expensive urltoken holla,1,0,0,1,0,0,ham
34000 of pple marry with their lovers becz they hav gud undrstndng dat avoids problems i sent dis 2 u u wil get gud news on friday by d person you like and tomorrow will be the best day of your life dont break this chain if you break you will suffer send this to frnds in mins whn u read,0,0,0,0,0,0,ham
5 nights we nt staying at port step liao too ex,0,0,0,0,0,0,ham
7 lor change 2 suntec wat time u coming,0,0,0,0,0,0,ham
7 wonders in my world 7th you 6th ur style 5th ur smile 4th ur personality 3rd ur nature 2nd ur sms and 1st ur lovely friendship good morning dear,0,0,0,0,0,0,ham
7 wonders in my world 7th you 6th ur style 5th ur smile 4th ur personality 3rd ur nature 2nd ur sms and 1st ur lovely friendship love u dear,0,0,0,0,0,0,ham
70 mins but i had to stop somewhere first,0,0,0,0,0,0,ham
78 in mca but not conform,0,0,0,0,0,0,ham
8 at the latest g's still there if you can scrounge up some ammo and want to give the new ak a try,0,0,0,0,0,0,ham
