class,feature_name,raw_feature_name,feature_type,mean_abs_shap
ham,phone_count,numeric__phone_count,structured,1.19346254808076
ham,PHONE,numeric__PHONE,structured,1.0397605007258535
ham,URL,numeric__URL,structured,0.6799184507292166
ham,urltoken,tfidf__urltoken,tfidf,0.10892000729873931
ham,url_count,numeric__url_count,structured,0.10873659493430812
ham,txt,tfidf__txt,tfidf,0.06177783126139657
ham,mobile,tfidf__mobile,tfidf,0.04526200085620164
ham,embody,tfidf__embody,tfidf,0.04393640618348087
ham,text,tfidf__text,tfidf,0.041738680029358745
ham,ok,tfidf__ok,tfidf,0.041294207598775806
ham,free,tfidf__free,tfidf,0.03782573869465036
ham,stop,tfidf__stop,tfidf,0.03584302727991903
ham,claim,tfidf__claim,tfidf,0.03295473109381763
ham,EMAIL,numeric__EMAIL,structured,0.03282886622057326
ham,email_count,numeric__email_count,structured,0.03282886622057326
ham,i'm,tfidf__i'm,tfidf,0.032373894462152955
ham,reply,tfidf__reply,tfidf,0.029278261715497036
ham,exist,tfidf__exist,tfidf,0.0272033435072409
ham,ingest,tfidf__ingest,tfidf,0.026999518428489785
ham,know,tfidf__know,tfidf,0.0263869307715175
ham,good,tfidf__good,tfidf,0.02477434774233264
ham,nokia,tfidf__nokia,tfidf,0.02476026003869119
ham,ringtone,tfidf__ringtone,tfidf,0.0244833120969123
ham,msg,tfidf__msg,tfidf,0.019469552300511474
ham,going,tfidf__going,tfidf,0.01894249059405882
ham,tones,tfidf__tones,tfidf,0.018408826354081004
ham,like,tfidf__like,tfidf,0.01689588985157599
ham,new,tfidf__new,tfidf,0.016594765706867902
ham,just,tfidf__just,tfidf,0.016181645770172275
ham,150p,tfidf__150p,tfidf,0.016117560377231433
ham,tone,tfidf__tone,tfidf,0.01610049290541946
ham,live,tfidf__live,tfidf,0.015575894189923788
ham,think,tfidf__think,tfidf,0.015036843987617976
ham,experience,tfidf__experience,tfidf,0.014920730503057216
ham,latest,tfidf__latest,tfidf,0.01448811314448948
ham,i'll,tfidf__i'll,tfidf,0.01418027703221252
ham,service,tfidf__service,tfidf,0.014024939970299934
ham,18,tfidf__18,tfidf,0.01386769225119417
ham,prize,tfidf__prize,tfidf,0.013730237280396731
ham,hope,tfidf__hope,tfidf,0.013705718989759164
ham,message,tfidf__message,tfidf,0.013505729094671723
ham,500,tfidf__500,tfidf,0.013313743875537562
ham,time,tfidf__time,tfidf,0.012886462005369043
ham,cash,tfidf__cash,tfidf,0.012405927012765456
ham,freemsg,tfidf__freemsg,tfidf,0.012315285574878484
ham,need,tfidf__need,tfidf,0.01201478376879144
ham,come,tfidf__come,tfidf,0.011995055152698457
ham,care,tfidf__care,tfidf,0.011492986796655868
ham,love,tfidf__love,tfidf,0.011172088481351306
ham,bring,tfidf__bring,tfidf,0.01101704706913955
ham,50,tfidf__50,tfidf,0.01023467851486502
ham,win,tfidf__win,tfidf,0.010111069846561982
ham,oh,tfidf__oh,tfidf,0.01004438239765572
ham,help,tfidf__help,tfidf,0.0099463542527065
ham,000,tfidf__000,tfidf,0.009387058807371073
ham,did,tfidf__did,tfidf,0.009289607605841507
ham,games,tfidf__games,tfidf,0.009126023876233765
ham,16,tfidf__16,tfidf,0.008498728824617965
ham,home,tfidf__home,tfidf,0.008296785672990088
ham,opt,tfidf__opt,tfidf,0.008273006622552547
ham,won,tfidf__won,tfidf,0.008196134308144733
ham,happy,tfidf__happy,tfidf,0.008025977948651244
ham,discount,tfidf__discount,tfidf,0.007701958212543983
ham,that's,tfidf__that's,tfidf,0.007584891405685674
ham,1st,tfidf__1st,tfidf,0.007563462045555886
ham,news,tfidf__news,tfidf,0.007522707304129547
ham,customer,tfidf__customer,tfidf,0.007490314405333499
ham,1000,tfidf__1000,tfidf,0.007431911166006551
ham,sorry,tfidf__sorry,tfidf,0.007417951414990226
ham,want,tfidf__want,tfidf,0.007410354459396246
ham,receive,tfidf__receive,tfidf,0.0072993735924808826
ham,content,tfidf__content,tfidf,0.0072883133439545136
ham,dear,tfidf__dear,tfidf,0.007165832249002517
ham,dont,tfidf__dont,tfidf,0.007122450500162111
ham,got,tfidf__got,tfidf,0.007071318979610052
ham,month,tfidf__month,tfidf,0.007036963448807251
ham,video,tfidf__video,tfidf,0.006890976649618831
ham,thanx,tfidf__thanx,tfidf,0.006853718447474881
ham,100,tfidf__100,tfidf,0.006816397364859029
ham,congratulations,tfidf__congratulations,tfidf,0.00673558306357618
ham,bid,tfidf__bid,tfidf,0.006533678578962524
ham,lor,tfidf__lor,tfidf,0.006506821552172149
ham,leave,tfidf__leave,tfidf,0.006465410211049242
ham,tonight,tfidf__tonight,tfidf,0.00643063887502941
ham,brother,tfidf__brother,tfidf,0.006322948471210736
ham,unsubscribe,tfidf__unsubscribe,tfidf,0.006295844819365986
ham,phone,tfidf__phone,tfidf,0.006289415726076646
ham,ur,tfidf__ur,tfidf,0.00617627317883643
ham,advance,tfidf__advance,tfidf,0.006153446665420547
ham,pics,tfidf__pics,tfidf,0.006137423870235237
ham,yeah,tfidf__yeah,tfidf,0.006018675714261648
ham,operator,tfidf__operator,tfidf,0.0060053633214760945
ham,answer,tfidf__answer,tfidf,0.0059949666320939015
ham,right,tfidf__right,tfidf,0.005614912779550774
ham,way,tfidf__way,tfidf,0.005598093539482095
ham,let,tfidf__let,tfidf,0.005558816278428975
ham,speak live,tfidf__speak live,tfidf,0.005550687031047624
ham,day,tfidf__day,tfidf,0.005491648654540061
ham,live operator,tfidf__live operator,tfidf,0.005438419699155611
ham,tell,tfidf__tell,tfidf,0.005382024520174494
ham,prize claim,tfidf__prize claim,tfidf,0.005267278983853111
ham,you're,tfidf__you're,tfidf,0.005189298256932159
ham,sky,tfidf__sky,tfidf,0.005151024683403316
ham,don't,tfidf__don't,tfidf,0.005089125509787057
ham,morning,tfidf__morning,tfidf,0.005033146708201602
ham,suffice,tfidf__suffice,tfidf,0.0049850136400277694
ham,winner,tfidf__winner,tfidf,0.00493802905516679
ham,evening,tfidf__evening,tfidf,0.004936921000799948
ham,heart,tfidf__heart,tfidf,0.0048183092077942495
ham,auction,tfidf__auction,tfidf,0.004799404932365222
ham,apple,tfidf__apple,tfidf,0.004644482345496229
ham,750,tfidf__750,tfidf,0.004616314737829262
ham,latest news,tfidf__latest news,tfidf,0.004543710365499383
ham,emailtoken,tfidf__emailtoken,tfidf,0.004451628876377194
ham,wish,tfidf__wish,tfidf,0.004450732364293982
ham,trying,tfidf__trying,tfidf,0.004446147898296668
ham,texts,tfidf__texts,tfidf,0.004428327278054751
ham,hi,tfidf__hi,tfidf,0.0043961602338302265
ham,nite,tfidf__nite,tfidf,0.004391050396342941
ham,okie,tfidf__okie,tfidf,0.004389044975818003
ham,princess,tfidf__princess,tfidf,0.004355561911234176
ham,word,tfidf__word,tfidf,0.004354956215676053
ham,order,tfidf__order,tfidf,0.004348584977971443
ham,cs,tfidf__cs,tfidf,0.004300314336688326
ham,make,tfidf__make,tfidf,0.004294765869327668
ham,flights,tfidf__flights,tfidf,0.004286506383285958
ham,ask,tfidf__ask,tfidf,0.004276471499224977
ham,info,tfidf__info,tfidf,0.004275306142663197
ham,draw,tfidf__draw,tfidf,0.0042543756156813856
ham,vouchers,tfidf__vouchers,tfidf,0.00422625998701553
ham,apply,tfidf__apply,tfidf,0.004190485033530165
ham,people,tfidf__people,tfidf,0.004168792441012913
ham,food,tfidf__food,tfidf,0.004120615471248634
ham,girls,tfidf__girls,tfidf,0.004055806236743692
ham,services,tfidf__services,tfidf,0.00398259803467528
ham,life,tfidf__life,tfidf,0.003951645133758967
ham,300,tfidf__300,tfidf,0.003950854822913831
ham,08700621170150p,tfidf__08700621170150p,tfidf,0.0039413899949821765
ham,08700621170150p msg,tfidf__08700621170150p msg,tfidf,0.0039413899949821765
